Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss
510000,1.3853816,0.00014850174,-0.26440302,-1.1774997836910188,706.25,-1.177498777396977,0.059475217,0.06712629
520000,1.3849995,0.00014550191,-0.32763532,-8.703571044041642,1447.2857142857142,-8.703569245125566,0.03490775,0.0651464
530000,1.3843071,0.00014250286,-0.49618253,-10.47999957576394,1622.0,-10.47999761874477,0.03306011,0.07196838
540000,1.3824849,0.00013950877,-0.4716622,-3.5579997304826976,940.6,-3.5579984502866866,0.04898871,0.06736087
550000,1.3824981,0.00013650658,-0.4805087,-4.963999699056148,1079.0,-4.963998307287693,0.04829506,0.06444709
560000,1.3814445,0.00013349993,-0.5677333,-4.414999711327255,1025.1,-4.414998392015695,0.05120073,0.069769435
570000,1.380048,0.0001304979,-0.57117,-1.0796426430211536,696.7857142857143,-1.079641621293766,0.05901947,0.07295179
580000,1.3787509,0.00012750475,-0.5009077,-4.938888588506314,1076.5555555555557,-4.938887192557256,0.04716415,0.06803082
590000,1.3773264,0.00012450447,-0.41899404,-1.7615382321752036,764.0,-1.7615371335011263,0.044679444,0.06576301
600000,1.3774737,0.00012150263,-0.46421394,-6.794999658130109,1259.25,-6.794998029246926,0.030553123,0.07076769
610000,1.3774606,0.00011850547,-0.5582385,-7.459999643266201,1324.5714285714287,-7.459998094077621,0.028279515,0.06696349
620000,1.3768575,0.000115500305,-0.55430037,-11.360832889409116,1708.6666666666667,-11.360830886289477,0.038834866,0.06412872
630000,1.3736739,0.000112502275,-0.5692211,-9.194999604485929,1495.6666666666667,-9.194997773816189,0.026978265,0.07339986
640000,1.3721838,0.000109506174,-0.5121493,-4.211999715864659,1004.9,-4.211998375877738,0.03723351,0.060812123
650000,1.3711406,0.00010649861,-0.45636466,-2.564999752677977,842.9166666666666,-2.564998551271856,0.04271097,0.073368445
660000,1.3710904,0.00010349374,-0.3543158,-2.6595830838972083,852.1666666666666,-2.659581899875775,0.044862304,0.06396524
670000,1.3703336,0.00010049248,-0.39241692,-5.931874677422456,1174.375,-5.931873227003962,0.03364574,0.05991316
680000,1.3699541,9.750044e-05,-0.49382636,-4.46049971031025,1029.4,-4.460498297587037,0.039470546,0.06833474
690000,1.3702296,9.450431e-05,-0.4315221,-0.380356944365693,627.7142857142857,-0.38035595204148975,0.0552594,0.069880694
700000,1.3704326,9.150091e-05,-0.43656534,-10.022856728839022,1577.0,-10.022854734744344,0.025438825,0.06795156
710000,1.3695982,8.850316e-05,-0.43564177,-0.3057140888912337,620.4285714285714,-0.3057131235088621,0.054009527,0.0654527
720000,1.3690813,8.5506115e-05,-0.3131738,-1.549642632515835,743.0,-1.5496415634240424,0.05105998,0.07073592
730000,1.3687191,8.250738e-05,-0.35367537,-4.183999716490507,1002.1,-4.1839983895421025,0.038318116,0.06715656
740000,1.3690102,7.9502286e-05,-0.38377193,-2.579166419027994,844.1666666666666,-2.5791652190188565,0.0393065,0.07081912
750000,1.3687487,7.6499484e-05,-0.32263738,-1.8203843847060432,769.4615384615385,-1.8203832634653037,0.05039963,0.06802585
760000,1.3677895,7.3497635e-05,-0.28140664,-2.7127270221032878,857.3636363636364,-2.7127258974042805,0.047386337,0.068871595
770000,1.368346,7.049473e-05,-0.29863998,-0.8256664582217733,671.7333333333333,-0.8256654853622118,0.04891156,0.06075803
780000,1.3683769,6.750092e-05,-0.30181748,-0.8921426472121051,678.2142857142857,-0.8921416435124618,0.04985585,0.06180299
790000,1.3677411,6.450712e-05,-0.2836905,-1.729615155965663,760.8461538461538,-1.729614070401742,0.044741675,0.06959402
800000,1.3665123,6.150092e-05,-0.35271809,-5.096110807214346,1092.111111111111,-5.096109398537212,0.037654947,0.06967018
810000,1.3657544,5.8494425e-05,-0.44743308,-3.2545451918108896,910.8181818181819,-3.2545439716936513,0.048507325,0.07065572
820000,1.3646569,5.550114e-05,-0.42311087,-3.1279997400939465,898.2,-3.1279984772205354,0.038186353,0.06617704
830000,1.363647,5.2502226e-05,-0.38727635,-1.3917854931870741,727.2142857142857,-1.3917844234300512,0.049967043,0.07070561
840000,1.3633443,4.949608e-05,-0.28267416,-1.0979997854679824,698.4,-1.0979987998803458,0.052788693,0.07247277
850000,1.3623946,4.6501445e-05,-0.31816676,-0.5909997968003153,648.5333333333333,-0.5909988667815924,0.04563756,0.0712176
860000,1.3616056,4.3507884e-05,-0.27101785,-1.9365382282636487,781.1538461538462,-2.3445819532498717,0.042795163,0.06485575
870000,1.3613213,4.050525e-05,-0.35263756,-1.0135712159265364,690.2142857142857,-0.748665509124597,0.05575765,0.06346437
880000,1.3608285,3.7502854e-05,-0.3690991,-2.4387497554998845,830.4166666666666,-2.4387485856811204,0.038887188,0.06600739
890000,1.3602377,3.4497927e-05,-0.3479878,-1.370384394764327,725.3846153846154,-1.3703833474562719,0.0466441,0.07033412
900000,1.3603499,3.1496547e-05,-0.31589207,0.05941195336773115,584.4705882352941,0.05941282037426444,0.050701093,0.064686015
910000,1.3601408,2.8501072e-05,-0.23041408,-0.4062498009297997,630.5,-0.4062488889321685,0.057846677,0.06459501
